timestamp,src_ip,dst_ip,src_port,dst_port,protocol,duration,total_packets,total_bytes,avg_packet_size,packet_rate,bytes_per_second,tcp_flags,inter_arrival_time,device_type,label
2025-06-23 22:08:13.943128,172.16.0.75,192.168.100.7,13607,23,TCP,589.7409349875489,580834.0,40908355,70.43037253328833,984.8968683380662,69366.65334391904,2,0.0010215963043574033,attack_protocolo_tcp_syn,1
2025-06-24 07:39:18.915708,192.168.100.190,192.168.100.53,8883,8883,UDP,41.126184962104794,1318.0,840346,637.5918057663126,32.0477088067968,20433.356528798533,0,0.034003730891489815,gateway_iot,0
2025-06-23 14:12:09.893158,192.168.100.85,192.168.100.226,554,80,TCP,60.03895454913119,1174.0,1060806,903.5826235093697,19.553971397674655,17668.628775538044,17,0.02498099042993301,camara_ip,0
2025-06-23 21:47:24.916138,192.168.100.217,10.0.0.116,8080,1883,TCP,10.561540980210076,9.0,1011,112.33333333333333,0.8521483765355786,95.72466763083,16,0.11128028739750576,sensor_temperatura,0
2025-06-23 16:43:48.914485,192.168.100.190,192.168.100.49,80,80,UDP,13.810190429805814,1177.0,684070,581.1979609175871,85.22692036597427,49533.71233198982,0,0.02193503043143792,camara_ip,0
2025-06-24 04:33:57.943699,172.16.0.188,192.168.100.187,40626,443,TCP,873.6501170951675,128191.0,150462459,1173.7365259651613,146.73036435481418,172222.78811142195,6,0.006726803412857897,attack_aplicacion_http,1
2025-06-23 09:02:07.884494,192.168.100.146,192.168.100.254,1883,1883,UDP,8.559153921244107,7.0,1787,255.28571428571428,0.8178378452367547,208.78231849115437,0,0.6681133286072106,sensor_temperatura,0
2025-06-23 11:23:03.936600,172.16.0.139,192.168.100.159,24575,8080,TCP,197.67593778090347,29943.0,15373435,513.4233376749157,151.47518881730406,77770.8970175183,255,0.006757351304811973,attack_aplicacion_http,1
2025-06-23 13:52:18.943847,172.16.0.58,192.168.100.248,35851,22,TCP,225.43282626084206,110215.0,5230313,47.45554597831511,488.903953466268,23201.20404269851,2,0.002171018174667868,attack_protocolo_tcp_syn,1
2025-06-23 13:59:05.883496,192.168.100.218,192.168.100.159,1883,8080,UDP,4.460758597646093,13.0,3289,253.0,2.914302515016167,737.3185362990903,0,0.18459556764645302,sensor_temperatura,0
2025-06-23 20:49:49.900709,192.168.100.182,10.0.0.235,502,44818,TCP,12.153699219997835,129.0,38191,296.05426356589146,10.614052369153741,3142.335457599617,17,0.11344835174743079,controlador_plc,0
2025-06-23 12:32:41.950751,172.16.0.133,192.168.100.119,16684,979,ICMP,135.2472165454938,72476.0,74035608,1021.5189579998896,535.8779415295461,547409.4764463877,0,0.001781543305611211,attack_volumetrico,1
2025-06-23 11:44:10.937048,172.16.0.108,192.168.100.27,31203,443,TCP,157.93546261401914,75909.0,71062796,936.1577151589403,480.6330303759273,449948.3195466457,2,0.002168978727305458,attack_aplicacion_http,1
2025-06-23 12:04:12.939418,172.16.0.82,192.168.100.251,40678,47222,TCP,271.325672440474,363773.0,293763480,807.5461345399466,1340.7245865383709,1082696.9573417297,0,0.000759354526630209,attack_volumetrico,1
2025-06-23 19:28:50.910598,192.168.100.213,10.0.0.250,554,8080,UDP,8.410528248917105,251.0,188980,752.9083665338645,29.843547583627394,22469.45666276456,0,0.02100455656803449,camara_ip,0
2025-06-23 18:17:41.941743,172.16.0.3,192.168.100.76,37660,80,TCP,482.4277794117292,241130.0,93115098,386.1613984157923,499.8261092966767,193013.54933072932,255,0.0020251126892446123,attack_aplicacion_http,1
2025-06-23 10:20:26.884536,192.168.100.63,192.168.100.34,502,502,UDP,33.18348696330216,170.0,14055,82.67647058823529,5.123030023577816,423.5540410669777,0,0.11923707814644724,sensor_temperatura,0
